codigo_solicitado,cod_solic_desc
11119706,CONJ FRONT (LCD+TP+MOLD) Q3/Q5 BRANCO
11099468,BATER 3C LI-ION 2200MAH CLEVO MONT
11145246,LCD 14 N140BGA-EA4 RED  V142R
11159046,CAMERA TRASEIRA 8MP SENS SP8409 AF S533
11152544,"BATER 1C LI-ION 3000MAH 11,4WH BOREO CKD"
11092563,TCL ABNT2 SK-6620 USB PR POS
11134251,FONTE TFX 180W PI-T180G-I(01) V2 POSIT A
11133929,PLM POS-RIB360EE BASIC DDR4 BOREO ECOFP
11133929,PLM POS-RIB360EE BASIC DDR4 BOREO ECOFP
11130014,PLM POS-RIQ270DY DDR4 JABIL MONT
11160353,PLM V142R-2 4GB Z8330 DDR3 JABIL JABIL
11115151,"HDD 500GB 2,5` SATAIII WESTE WD5000LPCX"
11144974,BATER 2C LI-PO 10000MAH 38WH BOREO BOREO
11145242,TAMPA C C/TP SPK V2 DARK GRAY V142R
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11144185,LCD 14 PR AGLAR SL140DC30D1465-A00 V2
11145587,"LCD 14,1 HD AG N140WHM-N41 CINZA N14DP6"
11142727,"LCD 14,1 HD AG N140BGA-EA3 CINZA N14DP6"
11150195,CONJUNTO FRONTAL S532 HF
11160353,PLM V142R-2 4GB Z8330 DDR3 JABIL JABIL
11130789,"HDD 1TB 2,5` SATA WESTE WD10SPZX NAC"
11130789,"HDD 1TB 2,5` SATA WESTE WD10SPZX NAC"
11133814,PLM V142N 4G 32GB FP Z8350 LPDDR3 JABIL
11130014,PLM POS-RIQ270DY DDR4 JABIL MONT
11153740,LCD 14 SL140PB42D1636-A00 RED V142
11144619,TAMPA COVER C TP CINZA S/TECLA N14DP6
11124280,ADAPT AC/DC PA-1900-32BR 90W 3P LITEON
11160326,PLM V142R-2 2GB Z8330 DDR3 JABIL JABIL
11150027,LCD 12 GLARE SL116PP40Y1008 V116N S LOGO
11145471,TAMPA COVER D DARK GRAY N14ZP6
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11152544,"BATER 1C LI-ION 3000MAH 11,4WH BOREO CKD"
